date,open,close
01/02/2018,62.1479,62.7808
01/03/2018,62.7709,62.7709
01/04/2018,62.6918,62.7313
01/05/2018,62.9884,63.2653
01/08/2018,63.4334,63.8289
01/09/2018,63.5125,63.3741
01/10/2018,63.1664,63.5026
01/11/2018,63.3147,63.5718
01/12/2018,63.7795,63.9476
1/16/2018,64.0563,62.7115
1/17/2018,62.9587,63.0972
1/18/2018,63.2851,63.3938
1/19/2018,64.5804,66.4592
1/22/2018,65.8066,65.6484
1/23/2018,65.7868,66.39
1/24/2018,66.5877,67.2404
1/25/2018,67.3689,66.9536
1/26/2018,67.4381,67.2799
1/29/2018,67.0624,66.8251
1/30/2018,66.746,66.5779
1/31/2018,66.746,67.4579
02/01/2018,66.9141,66.8943
02/02/2018,66.4691,66.4691
02/05/2018,65.8857,63.6707
02/06/2018,61.782,64.4914
02/07/2018,64.4222,64.8968
02/08/2018,64.798,61.7919
02/09/2018,63.0477,64.7584
02/12/2018,65.2034,65.2429
2/13/2018,65.1144,65.1342
2/14/2018,64.9858,67.2008
2/15/2018,67.626,67.5271
2/16/2018,67.1415,67.537
2/20/2018,66.8844,66.7361
2/21/2018,66.9042,66.301
2/22/2018,66.4988,66.3801
2/23/2018,66.6372,67.3986
2/26/2018,67.626,68.8719
2/27/2018,69.218,67.27
2/28/2018,67.3393,66.2812
03/01/2018,66.4889,65.5791
03/02/2018,64.3791,65.351
03/05/2018,64.9444,64.5179
03/06/2018,64.6766,64.7064
03/07/2018,63.9823,63.6451
03/08/2018,64.0319,64.5774
03/09/2018,64.9741,65.7577
03/12/2018,66.1048,66.2734
3/13/2018,66.7495,65.6288
3/14/2018,66.1048,65.6585
3/15/2018,65.9461,65.847
3/16/2018,65.7676,65.3709
3/19/2018,65.1626,65.1725
3/20/2018,65.4006,66.2536
3/21/2018,66.1842,65.8073
3/22/2018,65.0634,63.8931
3/23/2018,66.1544,64.1013
3/26/2018,64.5477,65.361
3/27/2018,65.351,65.6288
3/28/2018,66.0453,64.9047
3/29/2018,65.1626,65.8965
04/02/2018,65.4304,63.5955
04/03/2018,63.9427,66.1544
04/04/2018,65.4304,67.8603
04/05/2018,67.9397,69.0208
04/06/2018,67.9496,66.9975
04/09/2018,67.8306,66.6305
04/10/2018,67.2553,66.452
04/11/2018,66.0354,66.2834
04/12/2018,66.5214,67.2157
4/13/2018,67.5628,66.6999
4/16/2018,67.2553,66.5115
4/17/2018,66.8189,66.9578
4/18/2018,66.9776,65.6585
4/19/2018,65.4899,65.1924
4/20/2018,65.2122,65.5494
4/23/2018,65.4601,66.3329
4/24/2018,66.7594,66.4222
4/25/2018,66.2933,66.1247
4/26/2018,66.2338,67.4934
4/27/2018,67.9099,68.991
4/30/2018,69.0109,67.8306
05/01/2018,67.4239,67.543
05/02/2018,67.4835,67.7017
05/03/2018,67.2454,66.3528
05/04/2018,66.2933,67.543
05/07/2018,67.5033,68.7728
05/08/2018,68.634,67.9
05/09/2018,67.8603,67.3942
05/10/2018,67.5826,67.3644
05/11/2018,67.4735,67.8703
5/14/2018,68.0389,68.2769
5/15/2018,67.7512,68.9315
5/16/2018,69.1001,70.7565
5/17/2018,70.816,70.3597
5/18/2018,70.1812,70.7366
5/21/2018,70.8953,70.7961
5/22/2018,70.8755,70.7267
5/23/2018,70.3697,70.7565
5/24/2018,70.8457,71.5896
5/25/2018,72.5021,71.659
5/29/2018,70.935,70.3399
5/30/2018,70.8755,71.6392
5/31/2018,71.4111,71.2127
06/01/2018,71.7299,72.3665
06/04/2018,72.6052,73.4307
06/05/2018,73.2119,73.6495
06/06/2018,73.9777,74.3457
06/07/2018,74.5446,74.3556
06/08/2018,74.3755,74.4949
06/11/2018,74.654,74.1866
06/12/2018,74.0175,73.8882
6/13/2018,73.8683,73.7092
6/14/2018,74.1965,74.296
6/15/2018,74.3059,75.4298
6/18/2018,74.8728,75.201
6/19/2018,74.097,73.8583
6/20/2018,73.7987,74.3159
6/21/2018,73.3014,73.5401
6/22/2018,73.1721,73.0328
6/25/2018,72.9234,71.9587
6/26/2018,72.1079,72.1675
6/27/2018,72.3366,70.9641
6/28/2018,71.0635,71.3122
6/29/2018,78.334,79.249
07/02/2018,78.155,77.9262
07/03/2018,76.9913,75.8674
07/05/2018,76.2056,76.136
07/06/2018,76.0663,76.0663
07/09/2018,76.4244,76.862
07/10/2018,77.0211,77.1504
07/11/2018,76.7128,76.9416
07/12/2018,77.5184,76.9515
7/13/2018,76.7824,76.9615
7/16/2018,76.9416,77.3295
7/17/2018,77.0908,77.051
7/18/2018,77.0112,76.1757
7/19/2018,75.5193,76.5338
7/20/2018,75.8973,76.5437
7/23/2018,76.2951,76.1757
7/24/2018,76.4343,75.1215
7/25/2018,74.833,76.7427
7/26/2018,76.5835,77.7273
7/27/2018,77.7472,76.4741
7/30/2018,76.4642,75.5492
7/31/2018,76.0266,76.494
08/01/2018,76.0862,77.1206
08/02/2018,77.3494,78.2246
08/03/2018,78.3042,78.3141
08/06/2018,78.3141,79.08
08/07/2018,79.2988,80.0944
08/08/2018,79.7762,80.0646
08/09/2018,80.0547,80.8205
08/10/2018,80.3829,80.2934
8/13/2018,80.3829,79.7165
8/14/2018,79.8955,79.7065
8/15/2018,79.1396,79.1396
8/16/2018,79.4678,79.617
8/17/2018,79.6071,79.3187
8/20/2018,81.0791,81.7355
8/21/2018,81.8648,82.5013
8/22/2018,82.6505,82.193
8/23/2018,81.9842,82.4616
8/24/2018,81.9742,82.0041
8/27/2018,82.5909,82.203
8/28/2018,82.7798,82.1333
8/29/2018,81.9742,82.3422
8/30/2018,82.1333,80.9597
8/31/2018,81.0096,81.9568
09/04/2018,79.1551,79.3645
09/05/2018,79.4118,79.6835
09/06/2018,79.9328,80.1621
09/07/2018,79.7733,80.0624
09/10/2018,81.1492,81.8571
09/11/2018,82.9538,82.3855
09/12/2018,82.4553,82.7544
9/13/2018,82.9638,83.223
9/14/2018,83.3327,83.243
9/17/2018,83.243,83.0136
9/18/2018,82.9937,85.0077
9/19/2018,85.4364,84.1802
9/20/2018,84.8382,85.1174
9/21/2018,85.7455,85.2969
9/24/2018,84.908,84.0206
9/25/2018,84.6089,84.5391
9/26/2018,82.3656,83.4523
9/27/2018,83.5221,84.2898
9/28/2018,84.0406,84.4693
10/01/2018,84.8482,84.2101
10/02/2018,84.0904,82.5251
10/03/2018,81.6876,82.2559
10/04/2018,82.0964,79.9427
