text,key,tweet.user.screen_name,Other,user.location,created_at
Conference Chairman and Deputy Leader Desmond McKenzie officially opens the 79th Annual Conference of the Jamaica L… https://t.co/aiK8HoVBxL,3CK05MGL1LTBAWHGK08RFYUNZ,AndrewHolnessJM,NBZT9K8HE5M3MNCTVLEEXSJC3,Jamaica,2022-11-20 17:09:26+00:00
"We started our conference by inviting the blessings of God into our midst. In all thy ways, acknowledge Him and He… https://t.co/7Q7TEnc0kc",ONE8UGEIEN9C8V1AR5GSMJR5V,AndrewHolnessJM,WEV2P61KR9KC52YZVGL2I5K6D,Jamaica,2022-11-20 16:46:19+00:00
"Starting with a run at the Mona Reservoir, which I am happy to say is at full capacity, I am getting ready for our… https://t.co/6M0h8b8RXU",DL15KZUNP2SR7M08KKVEX3PN1,AndrewHolnessJM,XLZPZ4DVKAYSGRICOK6T9H76N,Jamaica,2022-11-20 13:01:37+00:00
"Jamaica Stronger! #JLPStronger 🇯🇲
Join us Tomorrow, November 20, 2022 at 11:00am for our 79th Annual Conference. 
-… https://t.co/h2icIfpD6W",4TN37FYWFW4MW4EF928JBLBMS,AndrewHolnessJM,8MSWOLWLNG71SR757KOHZU6Y4,Jamaica,2022-11-19 22:52:23+00:00
"(3/3) The security forces will be focusing on intensive searches, snap raids, and targeted operations to get the gu… https://t.co/3LBiBStgkR",ZDH59601F1JYWU43FMJXGDUDT,AndrewHolnessJM,LOJYKXJKA2ZVOKEDBTJCHNR86,Jamaica,2022-11-19 02:30:55+00:00
"(2/3) Illegal possession, use, trafficking, or storing, of an illegal firearm will effectively end your useful life… https://t.co/GJGDevGpJg",N0ZHX3JOGHF6Q7ZZ10G9LD4VQ,AndrewHolnessJM,2HSP51JTRUCT3QLLACCWRB7XV,Jamaica,2022-11-19 02:30:53+00:00
"(1/3) The gun amnesty ends tomorrow. I am making a solemn and urgent appeal to our young men in particular, I implo… https://t.co/3AxrkU3P7D",OW1DVDG4CQRAJMO5SWN0KLDF0,AndrewHolnessJM,TDEU962AJ120NJSMHAEQZRMAC,Jamaica,2022-11-19 02:30:13+00:00
"(2/2) Fourteen (14) unions, representing approximately 60,000 public sector employees, have signed with the MOFPS o… https://t.co/OHilBc2st2",BGCWGNL1ISK6XE84L6WKQ9ET7,AndrewHolnessJM,W5GAB736VG4FHO9BVDG6MYVO4,Jamaica,2022-11-18 13:08:10+00:00
(1/2) The Ministry of Finance and the Public Service (“MOFPS”) has reached agreement with a number of major public… https://t.co/j4oBBCfNcv,N1GHOX456UUKSUE65FIH85MEC,AndrewHolnessJM,TW5FQU3W7CKSC24LCTV80H99F,Jamaica,2022-11-18 13:08:05+00:00
(2/2) Persons in possession of licensed firearms or ammunition without appropriate authorization are to surrender t… https://t.co/MBzvT6BeWb,UP9ZZI4TRC7O8QHGSLLO688TE,AndrewHolnessJM,4NAOIVCKORSRS2IB4F7Z0ZUMM,Jamaica,2022-11-18 11:03:49+00:00
"(1/2) The Gun Amnesty ends in ONE DAY!

Persons in possession of illegal firearms or ammunition are to surrender th… https://t.co/VRBgmbjmaR",EFS5YMCQNZPBOP6MVXDFIUM9I,AndrewHolnessJM,VAIQZGE4P38O2XFSH0XH9JRLS,Jamaica,2022-11-18 11:03:49+00:00
"#JamaicaStronger 🇯🇲
One Government! One JLP! One Jamaica! ✌🏾🔔

Let’s get together at the National Arena, Sunday, No… https://t.co/2uIdh061hf",386WO5L7O2MJBX0KSC6RQS7XV,AndrewHolnessJM,XRD5J6GSXMP3SIZRRU8QXJRT0,Jamaica,2022-11-18 01:31:08+00:00
"(3/3) In so doing, your government is creating a suitable business environment for developers to partner with the N… https://t.co/FDKJX3Sz76",NE9M21207VGOK2MEY2ZOZMGII,AndrewHolnessJM,A6RDOW62KI0B7ECERQWP48MCM,Jamaica,2022-11-17 18:24:51+00:00
(2/3) The unique advantage of this programme is that we have minimised the fiscal and policy risks for investors.,1EWP2FA8J314A6LE0WU6297W6,AndrewHolnessJM,ICEE4AFQGRGVUCJNAG3WQXHZR,Jamaica,2022-11-17 18:24:50+00:00
(1/3) We are increasing capacity and changing how the NHT works to make affordable homeownership a reality for all… https://t.co/Quqnetb1YR,V0L5T95YSU96P56NMLPCWCXR9,AndrewHolnessJM,JXE2CIM16MRR7TE8WBQYQWX54,Jamaica,2022-11-17 18:24:49+00:00
Persons in possession of licensed firearms or ammunition without appropriate authorization are to surrender these w… https://t.co/sMbuxqIgQh,20A3I6OEIW500AQ9JXSFSBBT6,AndrewHolnessJM,U6G7G8H0LZUJ1UJ0SMK1WCAZL,Jamaica,2022-11-16 20:15:37+00:00
"The Gun Amnesty ends this Saturday, November 19, 2022. 

Persons in possession of illegal firearms or ammunition ar… https://t.co/Wa6AW7Ec88",2T59R7A5PGY8S5Y6N3MIRJQFM,AndrewHolnessJM,6B5ZG791AMTYQCGXNMQUN5A9L,Jamaica,2022-11-16 20:15:36+00:00
